volunteer,channel,ETC for EyesOpen,ETC for EyesClosed
S002,FC4,0.06177083333333333,0.059375
S002,FC6,0.0634375,0.058125
S002,C5,0.056666666666666664,0.057604166666666665
S002,C3,0.065625,0.05645833333333333
S002,C1,0.0634375,0.05427083333333333
S002,Cz,0.0625,0.054375
S002,C2,0.06270833333333334,0.055
S002,C4,0.065,0.05625
S002,C6,0.0621875,0.0575
S002,CP5,0.05979166666666667,0.055
S002,CP3,0.0665625,0.0590625
S002,CP1,0.06375,0.05875
S002,CPz,0.064375,0.05604166666666666
S002,CP2,0.06395833333333334,0.05510416666666667
S002,CP4,0.06583333333333333,0.05385416666666667
S002,CP6,0.06583333333333333,0.05427083333333333
S002,Fp1,0.066875,0.0596875
S002,Fpz,0.0653125,0.057604166666666665
S002,Fp2,0.06385416666666667,0.058333333333333334
S002,AF7,0.06854166666666667,0.059270833333333335
S002,AF3,0.0659375,0.060625
S002,AFz,0.06625,0.05979166666666667
S002,AF4,0.06645833333333333,0.059166666666666666
S002,AF8,0.06645833333333333,0.059270833333333335
S002,F7,0.0640625,0.06197916666666667
S002,F5,0.064375,0.06041666666666667
S002,F3,0.06635416666666667,0.059270833333333335
S002,F1,0.0628125,0.059270833333333335
S002,Fz,0.06604166666666667,0.058229166666666665
S002,F2,0.0625,0.058333333333333334
S002,F4,0.0621875,0.059270833333333335
S002,F6,0.06552083333333333,0.059479166666666666
S002,F8,0.06604166666666667,0.05708333333333333
S002,FT7,0.06520833333333333,0.05708333333333333
S002,FT8,0.06572916666666667,0.05708333333333333
S002,T7,0.06447916666666667,0.059479166666666666
S002,T8,0.06354166666666666,0.058229166666666665
S002,T9,0.0640625,0.059375
S002,T10,0.068125,0.06229166666666667
S002,TP7,0.06135416666666667,0.05614583333333333
S002,TP8,0.06520833333333333,0.05229166666666667
S002,P7,0.06291666666666666,0.0575
S002,P5,0.065625,0.0565625
S002,P3,0.06458333333333334,0.05260416666666667
S002,P1,0.0675,0.05260416666666667
S002,Pz,0.06197916666666667,0.0534375
S002,P2,0.06270833333333334,0.05427083333333333
S002,P4,0.06510416666666667,0.05541666666666667
S002,P6,0.06270833333333334,0.0525
S002,P8,0.064375,0.055625
S002,PO7,0.06635416666666667,0.05322916666666667
S002,PO3,0.06354166666666666,0.051666666666666666
S002,POz,0.06239583333333333,0.049791666666666665
S002,PO4,0.06635416666666667,0.05333333333333334
S002,PO8,0.06333333333333334,0.049791666666666665
S002,O1,0.06645833333333333,0.05395833333333333
S002,Oz,0.06416666666666666,0.052395833333333336
S002,O2,0.06541666666666666,0.04895833333333333
S002,Iz,0.0615625,0.05541666666666667
S003,FC5,0.06322916666666667,0.06375
S003,FC3,0.065,0.06010416666666667
S003,FC1,0.065,0.05875
S003,FCz,0.06166666666666667,0.059895833333333336
S003,FC2,0.063125,0.058229166666666665
S003,FC4,0.06395833333333334,0.06010416666666667
S003,FC6,0.0625,0.06197916666666667
S003,C5,0.06708333333333333,0.06135416666666667
S003,C3,0.06572916666666667,0.0609375
S003,C1,0.06354166666666666,0.06041666666666667
S003,Cz,0.0628125,0.059166666666666666
S003,C2,0.06322916666666667,0.058333333333333334
S003,C4,0.0646875,0.0634375
S003,C6,0.064375,0.0615625
S003,CP5,0.06510416666666667,0.05614583333333333
S003,CP3,0.06510416666666667,0.05552083333333333
S003,CP1,0.0646875,0.0596875
S003,CPz,0.06416666666666666,0.05614583333333333
S003,CP2,0.06520833333333333,0.058125
S003,CP4,0.06385416666666667,0.05614583333333333
S003,CP6,0.06479166666666666,0.0640625
S003,Fp1,0.06635416666666667,0.059479166666666666
S003,Fpz,0.06427083333333333,0.058541666666666665
S003,Fp2,0.06583333333333333,0.05739583333333333
S003,AF7,0.06385416666666667,0.058541666666666665
S003,AF3,0.06416666666666666,0.05979166666666667
S003,AFz,0.06354166666666666,0.06041666666666667
S003,AF4,0.06625,0.058229166666666665
S003,AF8,0.06666666666666667,0.058229166666666665
S003,F7,0.06520833333333333,0.059375
S003,F5,0.06270833333333334,0.058333333333333334
S003,F3,0.06166666666666667,0.06125
S003,F1,0.0675,0.059270833333333335
S003,Fz,0.06291666666666666,0.059270833333333335
S003,F2,0.0634375,0.058645833333333335
S003,F4,0.0640625,0.058333333333333334
S003,F6,0.0675,0.059270833333333335
S003,F8,0.065,0.060833333333333336
S003,FT7,0.06375,0.06197916666666667
S003,FT8,0.06479166666666666,0.0603125
S003,T7,0.06520833333333333,0.06041666666666667
S003,T8,0.06479166666666666,0.0603125
S003,T9,0.06604166666666667,0.06177083333333333
S003,T10,0.06385416666666667,0.06270833333333334
S003,TP7,0.0653125,0.0578125
S003,TP8,0.06270833333333334,0.05739583333333333
S003,P7,0.06552083333333333,0.052395833333333336
S003,P5,0.06260416666666667,0.05197916666666667
S003,P3,0.0665625,0.05354166666666667
S003,P1,0.06270833333333334,0.05572916666666667
S003,Pz,0.06302083333333333,0.05489583333333333
S003,P2,0.06291666666666666,0.0559375
S003,P4,0.06395833333333334,0.058125
S003,P6,0.0625,0.05385416666666667
S003,P8,0.06197916666666667,0.051145833333333335
S003,PO7,0.06375,0.04895833333333333
S003,PO3,0.06552083333333333,0.050416666666666665
S003,POz,0.06375,0.0525
S003,PO4,0.06427083333333333,0.049791666666666665
S003,PO8,0.0653125,0.049895833333333334
S003,O1,0.06625,0.05
S003,Oz,0.06541666666666666,0.048854166666666664
S003,O2,0.0634375,0.04958333333333333
S003,Iz,0.0675,0.0475
S004,FC5,0.0659375,0.05572916666666667
S004,FC3,0.065625,0.056875
S004,FC1,0.0634375,0.05541666666666667
S004,FCz,0.06416666666666666,0.05552083333333333
S004,FC2,0.06458333333333334,0.05604166666666666
S004,FC4,0.0640625,0.056875
S004,FC6,0.068125,0.05645833333333333
S004,C5,0.06447916666666667,0.060520833333333336
S004,C3,0.06354166666666666,0.058958333333333335
S004,C1,0.06604166666666667,0.05625
S004,Cz,0.0659375,0.058645833333333335
S004,C2,0.06302083333333333,0.058333333333333334
S004,C4,0.06572916666666667,0.06
S004,C6,0.0646875,0.06125
S004,CP5,0.06385416666666667,0.059270833333333335
S004,CP3,0.065,0.0590625
S004,CP1,0.06458333333333334,0.059166666666666666
S004,CPz,0.06375,0.058125
S004,CP2,0.06354166666666666,0.05625
S004,CP4,0.06427083333333333,0.0546875
S004,CP6,0.06385416666666667,0.051458333333333335
S004,Fp1,0.0653125,0.050208333333333334
S004,Fpz,0.06625,0.04895833333333333
S004,Fp2,0.06447916666666667,0.04927083333333333
S004,AF7,0.064375,0.05385416666666667
S004,AF3,0.06708333333333333,0.051770833333333335
S004,AFz,0.06395833333333334,0.05333333333333334
S004,AF4,0.06520833333333333,0.051354166666666666
S004,AF8,0.06552083333333333,0.05604166666666666
S004,F7,0.06510416666666667,0.05395833333333333
S004,F5,0.066875,0.05510416666666667
S004,F3,0.06416666666666666,0.051458333333333335
S004,F1,0.06552083333333333,0.05322916666666667
S004,Fz,0.064375,0.0534375
S004,F2,0.06625,0.05645833333333333
S004,F4,0.06604166666666667,0.05625
S004,F6,0.066875,0.0559375
S004,F8,0.06489583333333333,0.05614583333333333
S004,FT7,0.06447916666666667,0.05708333333333333
S004,FT8,0.05645833333333333,0.06333333333333334
S004,T7,0.06333333333333334,0.06
S004,T8,0.06395833333333334,0.06177083333333333
S004,T9,0.06541666666666666,0.06239583333333333
S004,T10,0.065625,0.06177083333333333
S004,TP7,0.06510416666666667,0.0571875
S004,TP8,0.06385416666666667,0.050416666666666665
S004,P7,0.0646875,0.04958333333333333
S004,P5,0.06489583333333333,0.050625
S004,P3,0.06375,0.0509375
S004,P1,0.06510416666666667,0.05520833333333333
S004,Pz,0.06333333333333334,0.050416666666666665
S004,P2,0.0628125,0.049375
S004,P4,0.06541666666666666,0.04708333333333333
S004,P6,0.0659375,0.043645833333333335
S004,P8,0.0628125,0.03875
S004,PO7,0.0640625,0.042291666666666665
S004,PO3,0.0621875,0.043333333333333335
S004,POz,0.06489583333333333,0.041041666666666664
S004,PO4,0.06541666666666666,0.03947916666666667
S004,PO8,0.06364583333333333,0.036770833333333336
S004,O1,0.066875,0.041354166666666664
S004,Oz,0.066875,0.042604166666666665
S004,O2,0.06479166666666666,0.03885416666666667
S004,Iz,0.0665625,0.043958333333333335
S005,FC5,0.06604166666666667,0.064375
S005,FC3,0.06770833333333333,0.06677083333333333
S005,FC1,0.06552083333333333,0.0634375
S005,FCz,0.06302083333333333,0.0625
S005,FC2,0.06375,0.0625
S005,FC4,0.06260416666666667,0.06260416666666667
S005,FC6,0.06489583333333333,0.06458333333333334
S005,C5,0.06333333333333334,0.06364583333333333
S005,C3,0.06364583333333333,0.0621875
S005,C1,0.06552083333333333,0.0678125
S005,Cz,0.06208333333333333,0.06427083333333333
S005,C2,0.06145833333333333,0.06354166666666666
S005,C4,0.05333333333333334,0.06302083333333333
S005,C6,0.06479166666666666,0.0665625
S005,CP5,0.06416666666666666,0.06354166666666666
S005,CP3,0.058958333333333335,0.06291666666666666
S005,CP1,0.06322916666666667,0.06458333333333334
S005,CPz,0.0634375,0.06416666666666666
S005,CP2,0.058125,0.06489583333333333
S005,CP4,0.058333333333333334,0.064375
S005,CP6,0.06489583333333333,0.06510416666666667
S005,Fp1,0.05395833333333333,0.06114583333333334
S005,Fpz,0.05875,0.06697916666666667
S005,Fp2,0.06114583333333334,0.06302083333333333
S005,AF7,0.06739583333333334,0.06302083333333333
S005,AF3,0.0646875,0.0653125
S005,AFz,0.0646875,0.06145833333333333
S005,AF4,0.06635416666666667,0.06354166666666666
S005,AF8,0.0590625,0.06114583333333334
S005,F7,0.06583333333333333,0.06375
S005,F5,0.06520833333333333,0.06302083333333333
S005,F3,0.06604166666666667,0.06458333333333334
S005,F1,0.065625,0.0646875
S005,Fz,0.06072916666666667,0.06479166666666666
S005,F2,0.06229166666666667,0.06510416666666667
S005,F4,0.0625,0.06041666666666667
S005,F6,0.06645833333333333,0.0628125
S005,F8,0.06625,0.06260416666666667
S005,FT7,0.066875,0.06427083333333333
S005,FT8,0.06447916666666667,0.06604166666666667
S005,T7,0.06614583333333333,0.06479166666666666
S005,T8,0.06604166666666667,0.06489583333333333
S005,T9,0.06395833333333334,0.06427083333333333
S005,T10,0.0653125,0.06260416666666667
S005,TP7,0.0653125,0.06395833333333334
S005,TP8,0.06489583333333333,0.06520833333333333
S005,P7,0.06416666666666666,0.0653125
S005,P5,0.06395833333333334,0.06270833333333334
S005,P3,0.06625,0.06354166666666666
S005,P1,0.06197916666666667,0.06333333333333334
S005,Pz,0.061875,0.065
S005,P2,0.06208333333333333,0.0653125
S005,P4,0.0625,0.06302083333333333
S005,P6,0.0653125,0.06375
S005,P8,0.064375,0.064375
S005,PO7,0.06645833333333333,0.0625
S005,PO3,0.063125,0.06427083333333333
S005,POz,0.06322916666666667,0.06427083333333333
S005,PO4,0.0625,0.06322916666666667
S005,PO8,0.06270833333333334,0.065
S005,O1,0.06333333333333334,0.06239583333333333
S005,Oz,0.06635416666666667,0.06208333333333333
S005,O2,0.06197916666666667,0.063125
S005,Iz,0.06583333333333333,0.06520833333333333
S006,FC5,0.0678125,0.06552083333333333
S006,FC3,0.06447916666666667,0.06541666666666666
S006,FC1,0.06395833333333334,0.065
S006,FCz,0.06364583333333333,0.06552083333333333
S006,FC2,0.06645833333333333,0.065
S006,FC4,0.06458333333333334,0.06520833333333333
S006,FC6,0.06677083333333333,0.066875
S006,C5,0.0671875,0.0653125
S006,C3,0.06427083333333333,0.065625
S006,C1,0.0646875,0.06270833333333334
S006,Cz,0.06583333333333333,0.06708333333333333
S006,C2,0.0653125,0.0640625
S006,C4,0.06447916666666667,0.065
S006,C6,0.06447916666666667,0.06645833333333333
S006,CP5,0.06885416666666666,0.0671875
S006,CP3,0.06875,0.06479166666666666
S006,CP1,0.0665625,0.065
S006,CPz,0.06635416666666667,0.06677083333333333
S006,CP2,0.06604166666666667,0.06666666666666667
S006,CP4,0.06614583333333333,0.06510416666666667
S006,CP6,0.068125,0.06572916666666667
S006,Fp1,0.06708333333333333,0.06833333333333333
S006,Fpz,0.066875,0.0625
S006,Fp2,0.06479166666666666,0.06510416666666667
S006,AF7,0.07010416666666666,0.06510416666666667
S006,AF3,0.06979166666666667,0.065625
S006,AFz,0.06239583333333333,0.0659375
S006,AF4,0.06822916666666666,0.065
S006,AF8,0.06697916666666667,0.06604166666666667
S006,F7,0.06583333333333333,0.06614583333333333
S006,F5,0.0640625,0.064375
S006,F3,0.06572916666666667,0.0640625
S006,F1,0.06427083333333333,0.06458333333333334
S006,Fz,0.06447916666666667,0.0653125
S006,F2,0.06354166666666666,0.06614583333333333
S006,F4,0.06354166666666666,0.065
S006,F6,0.065,0.06583333333333333
S006,F8,0.06552083333333333,0.06625
S006,FT7,0.06635416666666667,0.065
S006,FT8,0.06479166666666666,0.06645833333333333
S006,T7,0.0678125,0.06677083333333333
S006,T8,0.06479166666666666,0.06770833333333333
S006,T9,0.06447916666666667,0.06802083333333334
S006,T10,0.0678125,0.06552083333333333
S006,TP7,0.06729166666666667,0.0675
S006,TP8,0.065625,0.068125
S006,P7,0.06864583333333334,0.06791666666666667
S006,P5,0.066875,0.0675
S006,P3,0.06614583333333333,0.0659375
S006,P1,0.06447916666666667,0.06604166666666667
S006,Pz,0.065,0.06625
S006,P2,0.06447916666666667,0.06510416666666667
S006,P4,0.0675,0.06677083333333333
S006,P6,0.06875,0.065
S006,P8,0.06447916666666667,0.06791666666666667
S006,PO7,0.06583333333333333,0.06572916666666667
S006,PO3,0.06489583333333333,0.06635416666666667
S006,POz,0.06677083333333333,0.06697916666666667
S006,PO4,0.06833333333333333,0.06666666666666667
S006,PO8,0.06885416666666666,0.0675
S006,O1,0.0653125,0.06666666666666667
S006,Oz,0.06489583333333333,0.065625
S006,O2,0.06489583333333333,0.06572916666666667
S006,Iz,0.0671875,0.06864583333333334
S007,FC5,0.063125,0.06197916666666667
S007,FC3,0.06270833333333334,0.06166666666666667
S007,FC1,0.06354166666666666,0.064375
S007,FCz,0.06489583333333333,0.06208333333333333
S007,FC2,0.06385416666666667,0.06270833333333334
S007,FC4,0.063125,0.06385416666666667
S007,FC6,0.06333333333333334,0.0634375
S007,C5,0.06322916666666667,0.06270833333333334
S007,C3,0.06635416666666667,0.063125
S007,C1,0.0634375,0.06583333333333333
S007,Cz,0.06427083333333333,0.06458333333333334
S007,C2,0.066875,0.06427083333333333
S007,C4,0.06552083333333333,0.0646875
S007,C6,0.06010416666666667,0.06489583333333333
S007,CP5,0.06145833333333333,0.0628125
S007,CP3,0.0659375,0.059895833333333336
S007,CP1,0.0621875,0.059375
S007,CPz,0.06291666666666666,0.059166666666666666
S007,CP2,0.063125,0.060520833333333336
S007,CP4,0.063125,0.06041666666666667
S007,CP6,0.06458333333333334,0.059166666666666666
S007,Fp1,0.0625,0.059479166666666666
S007,Fpz,0.06520833333333333,0.060833333333333336
S007,Fp2,0.064375,0.060833333333333336
S007,AF7,0.06489583333333333,0.059270833333333335
S007,AF3,0.06572916666666667,0.0603125
S007,AFz,0.06302083333333333,0.06010416666666667
S007,AF4,0.0646875,0.059166666666666666
S007,AF8,0.064375,0.0603125
S007,F7,0.06166666666666667,0.0625
S007,F5,0.06364583333333333,0.06208333333333333
S007,F3,0.06239583333333333,0.06239583333333333
S007,F1,0.0628125,0.06239583333333333
S007,Fz,0.061875,0.06270833333333334
S007,F2,0.0621875,0.0628125
S007,F4,0.06291666666666666,0.06239583333333333
S007,F6,0.06583333333333333,0.06177083333333333
S007,F8,0.06572916666666667,0.06333333333333334
S007,FT7,0.0609375,0.059583333333333335
S007,FT8,0.06458333333333334,0.06447916666666667
S007,T7,0.06395833333333334,0.06270833333333334
S007,T8,0.06489583333333333,0.06416666666666666
S007,T9,0.0603125,0.0628125
S007,T10,0.0490625,0.06208333333333333
S007,TP7,0.06458333333333334,0.06395833333333334
S007,TP8,0.06479166666666666,0.0615625
S007,P7,0.0646875,0.05625
S007,P5,0.06302083333333333,0.05677083333333333
S007,P3,0.06,0.05708333333333333
S007,P1,0.06260416666666667,0.05541666666666667
S007,Pz,0.06333333333333334,0.05541666666666667
S007,P2,0.058333333333333334,0.0565625
S007,P4,0.06177083333333333,0.05427083333333333
S007,P6,0.06239583333333333,0.056354166666666664
S007,P8,0.06447916666666667,0.06010416666666667
S007,PO7,0.0615625,0.05520833333333333
S007,PO3,0.059895833333333336,0.05489583333333333
S007,POz,0.06177083333333333,0.051875
S007,PO4,0.056354166666666664,0.05395833333333333
S007,PO8,0.058020833333333334,0.055
S007,O1,0.06072916666666667,0.052083333333333336
S007,Oz,0.064375,0.05322916666666667
S007,O2,0.06375,0.05385416666666667
S007,Iz,0.065,0.05708333333333333
S008,FC5,0.0665625,0.056354166666666664
S008,FC3,0.064375,0.05614583333333333
S008,FC1,0.06322916666666667,0.0540625
S008,FCz,0.06072916666666667,0.05572916666666667
S008,FC2,0.06125,0.05625
S008,FC4,0.06166666666666667,0.05541666666666667
S008,FC6,0.064375,0.0540625
S008,C5,0.06125,0.0559375
S008,C3,0.06104166666666667,0.0584375
S008,C1,0.063125,0.05364583333333333
S008,Cz,0.06260416666666667,0.05458333333333333
S008,C2,0.06447916666666667,0.056666666666666664
S008,C4,0.0596875,0.0559375
S008,C6,0.06208333333333333,0.0559375
S008,CP5,0.06135416666666667,0.055625
S008,CP3,0.0625,0.05645833333333333
S008,CP1,0.063125,0.05604166666666666
S008,CPz,0.06,0.05572916666666667
S008,CP2,0.06041666666666667,0.055625
S008,CP4,0.06270833333333334,0.0565625
S008,CP6,0.06197916666666667,0.05708333333333333
S008,Fp1,0.063125,0.056354166666666664
S008,Fpz,0.0653125,0.0565625
S008,Fp2,0.06333333333333334,0.05614583333333333
S008,AF7,0.06489583333333333,0.0578125
S008,AF3,0.06260416666666667,0.05552083333333333
S008,AFz,0.06125,0.05416666666666667
S008,AF4,0.06229166666666667,0.05510416666666667
S008,AF8,0.064375,0.0559375
S008,F7,0.06625,0.0596875
S008,F5,0.0671875,0.0571875
S008,F3,0.064375,0.056666666666666664
S008,F1,0.06447916666666667,0.057291666666666664
S008,Fz,0.06354166666666666,0.056354166666666664
S008,F2,0.06364583333333333,0.05625
S008,F4,0.06270833333333334,0.05520833333333333
S008,F6,0.06229166666666667,0.054375
S008,F8,0.06177083333333333,0.05510416666666667
S008,FT7,0.06322916666666667,0.056666666666666664
S008,FT8,0.0684375,0.05416666666666667
S008,T7,0.06302083333333333,0.058333333333333334
S008,T8,0.06291666666666666,0.05625
S008,T9,0.06229166666666667,0.057604166666666665
S008,T10,0.064375,0.05552083333333333
S008,TP7,0.06427083333333333,0.0596875
S008,TP8,0.06229166666666667,0.0553125
S008,P7,0.06208333333333333,0.0590625
S008,P5,0.06166666666666667,0.057708333333333334
S008,P3,0.06239583333333333,0.0578125
S008,P1,0.060520833333333336,0.05625
S008,Pz,0.06197916666666667,0.05677083333333333
S008,P2,0.06114583333333334,0.055625
S008,P4,0.0640625,0.05552083333333333
S008,P6,0.06072916666666667,0.05541666666666667
S008,P8,0.06177083333333333,0.05645833333333333
S008,PO7,0.06635416666666667,0.0553125
S008,PO3,0.06447916666666667,0.0546875
S008,POz,0.06104166666666667,0.057291666666666664
S008,PO4,0.06229166666666667,0.0565625
S008,PO8,0.06145833333333333,0.053125
S008,O1,0.064375,0.05416666666666667
S008,Oz,0.06239583333333333,0.05645833333333333
S008,O2,0.06260416666666667,0.05322916666666667
S008,Iz,0.06364583333333333,0.0521875
S009,FC5,0.06625,0.06385416666666667
S009,FC3,0.06,0.060625
S009,FC1,0.058958333333333335,0.05708333333333333
S009,FCz,0.06,0.057604166666666665
S009,FC2,0.06208333333333333,0.060520833333333336
S009,FC4,0.06395833333333334,0.06260416666666667
S009,FC6,0.06979166666666667,0.0634375
S009,C5,0.06458333333333334,0.06479166666666666
S009,C3,0.06229166666666667,0.059479166666666666
S009,C1,0.06135416666666667,0.058125
S009,Cz,0.0615625,0.056979166666666664
S009,C2,0.06104166666666667,0.058541666666666665
S009,C4,0.06322916666666667,0.06177083333333333
S009,C6,0.06125,0.06197916666666667
S009,CP5,0.06385416666666667,0.06010416666666667
S009,CP3,0.059479166666666666,0.0584375
S009,CP1,0.06197916666666667,0.0584375
S009,CPz,0.06260416666666667,0.06010416666666667
S009,CP2,0.06135416666666667,0.058854166666666666
S009,CP4,0.063125,0.0584375
S009,CP6,0.06322916666666667,0.06041666666666667
S009,Fp1,0.06572916666666667,0.0596875
S009,Fpz,0.06145833333333333,0.05625
S009,Fp2,0.0628125,0.06239583333333333
S009,AF7,0.06447916666666667,0.06229166666666667
S009,AF3,0.06104166666666667,0.058645833333333335
S009,AFz,0.058541666666666665,0.05739583333333333
S009,AF4,0.06416666666666666,0.06208333333333333
S009,AF8,0.06666666666666667,0.0653125
S009,F7,0.0659375,0.06322916666666667
S009,F5,0.065,0.06760416666666667
S009,F3,0.0590625,0.06145833333333333
S009,F1,0.0578125,0.058958333333333335
S009,Fz,0.056875,0.057604166666666665
S009,F2,0.058645833333333335,0.058020833333333334
S009,F4,0.06614583333333333,0.06447916666666667
S009,F6,0.06229166666666667,0.0615625
S009,F8,0.0653125,0.06239583333333333
S009,FT7,0.0659375,0.06510416666666667
S009,FT8,0.06645833333333333,0.0653125
S009,T7,0.06427083333333333,0.06270833333333334
S009,T8,0.06427083333333333,0.06489583333333333
S009,T9,0.0646875,0.06208333333333333
S009,T10,0.06458333333333334,0.06510416666666667
S009,TP7,0.06375,0.06333333333333334
S009,TP8,0.064375,0.06510416666666667
S009,P7,0.06447916666666667,0.059583333333333335
S009,P5,0.0621875,0.058125
S009,P3,0.06197916666666667,0.058541666666666665
S009,P1,0.06166666666666667,0.057604166666666665
S009,Pz,0.06229166666666667,0.05875
S009,P2,0.06239583333333333,0.058541666666666665
S009,P4,0.06197916666666667,0.05677083333333333
S009,P6,0.0634375,0.059895833333333336
S009,P8,0.06270833333333334,0.05875
S009,PO7,0.061875,0.054375
S009,PO3,0.06166666666666667,0.057708333333333334
S009,POz,0.06260416666666667,0.05645833333333333
S009,PO4,0.0615625,0.060208333333333336
S009,PO8,0.0628125,0.056979166666666664
S009,O1,0.061875,0.058125
S009,Oz,0.06239583333333333,0.0609375
S009,O2,0.06416666666666666,0.0590625
S009,Iz,0.06510416666666667,0.059895833333333336
S010,FC5,0.0640625,0.06354166666666666
S010,FC3,0.06635416666666667,0.059375
S010,FC1,0.0646875,0.06
S010,FCz,0.064375,0.0578125
S010,FC2,0.0690625,0.06239583333333333
S010,FC4,0.0659375,0.06364583333333333
S010,FC6,0.06614583333333333,0.0634375
S010,C5,0.06635416666666667,0.06291666666666666
S010,C3,0.063125,0.059583333333333335
S010,C1,0.06583333333333333,0.060520833333333336
S010,Cz,0.06333333333333334,0.058958333333333335
S010,C2,0.06333333333333334,0.06
S010,C4,0.06166666666666667,0.06677083333333333
S010,C6,0.0634375,0.06510416666666667
S010,CP5,0.0646875,0.06072916666666667
S010,CP3,0.06479166666666666,0.06
S010,CP1,0.06322916666666667,0.058958333333333335
S010,CPz,0.0671875,0.058854166666666666
S010,CP2,0.06479166666666666,0.06072916666666667
S010,CP4,0.06458333333333334,0.06375
S010,CP6,0.06260416666666667,0.06260416666666667
S010,Fp1,0.065625,0.0609375
S010,Fpz,0.065,0.0625
S010,Fp2,0.06395833333333334,0.0590625
S010,AF7,0.06541666666666666,0.06166666666666667
S010,AF3,0.06635416666666667,0.060625
S010,AFz,0.06291666666666666,0.06197916666666667
S010,AF4,0.064375,0.060625
S010,AF8,0.06458333333333334,0.0621875
S010,F7,0.06416666666666666,0.06447916666666667
S010,F5,0.0659375,0.06104166666666667
S010,F3,0.063125,0.06125
S010,F1,0.0646875,0.06177083333333333
S010,Fz,0.06802083333333334,0.058958333333333335
S010,F2,0.06322916666666667,0.06395833333333334
S010,F4,0.06385416666666667,0.06125
S010,F6,0.0653125,0.06364583333333333
S010,F8,0.06447916666666667,0.0603125
S010,FT7,0.064375,0.06458333333333334
S010,FT8,0.0665625,0.06510416666666667
S010,T7,0.06666666666666667,0.06166666666666667
S010,T8,0.065,0.0640625
S010,T9,0.06520833333333333,0.066875
S010,T10,0.06739583333333334,0.064375
S010,TP7,0.06645833333333333,0.06270833333333334
S010,TP8,0.0634375,0.06270833333333334
S010,P7,0.06552083333333333,0.05875
S010,P5,0.06385416666666667,0.05677083333333333
S010,P3,0.06489583333333333,0.057604166666666665
S010,P1,0.065625,0.05645833333333333
S010,Pz,0.06322916666666667,0.05479166666666667
S010,P2,0.0625,0.05739583333333333
S010,P4,0.06395833333333334,0.06302083333333333
S010,P6,0.06447916666666667,0.0590625
S010,P8,0.06541666666666666,0.058645833333333335
S010,PO7,0.06604166666666667,0.055
